#,QId,,Vraag1,,Vraag2,,Vraag3,,Vraag4,,Vraag5,,Vraag6,,Vraag7,,Vraag8,,Vraag9,,Vraag10,,Vraag11,,Vraag12,,Vraag13,,Vraag14,,Vraag15,,Vraag16,,Vraag17,,Vraag18,,Vraag19,,Vraag20,,Vraag21,,Vraag22,,Vraag23,,Vraag24,,Vraag25,,Vraag26,,Vraag27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21/07/2017 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,J,,A,,B,,C,,C,,A,,B,,A,,B,,B,,C,,B,,B,,A,,C,,C,,A,,B,,A,,B,,B,,C,,A,,B,,B,,A,4,,4,
10,21/07/2017 14:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,K,,A,,B,,A,,B,,C,,B,,C,,A,,B,,A,,B,,B,,A,,A,,A,,B,,B,,B,,B,,C,,A,,A,,B,,B,,C,4,,2,
11,21/07/2017 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L,,A,,B,,A,,B,,A,,C,,A,,A,,A,,C,,B,,B,,A,,C,,B,,C,,A,,A,,A,,A,,C,,A,,B,,B,,A,4,,4,
12,21/07/2017 14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,M,,A,,A,,A,,B,,A,,B,,A,,B,,B,,C,,A,,B,,A,,A,,C,,A,,A,,A,,B,,A,,B,,A,,B,,B,,A,3,,3,
12,21/07/2017 14:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,N,,A,,B,,A,,C,,A,,C,,A,,B,,A,,C,,B,,A,,A,,C,,B,,A,,C,,A,,B,,A,,B,,A,,B,,B,,A,3,,4,
13,21/07/2017 14:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,O,,A,,B,,C,,C,,A,,C,,C,,A,,B,,C,,B,,B,,A,,C,,B,,A,,A,,B,,C,,A,,B,,A,,B,,B,,A,3,,3,
14,21/07/2017 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P,,A,,B,,C,,A,,A,,B,,A,,B,,A,,C,,B,,C,,A,,C,,B,,A,,A,,B,,B,,A,,C,,A,,B,,B,,A,4,,3,
15,21/07/2017 14:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Q,,A,,B,,A,,C,,A,,B,,B,,B,,A,,C,,B,,B,,A,,C,,B,,A,,B,,A,,B,,A,,B,,A,,B,,B,,A,4,,4,
16,21/07/2017 15:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
